NUMERO;CSP;IFSI;PROMO;SEXE;ANNEE;QUESTION1;QUESTION2;QUESTION3;QUESTION4;QUESTION5;QUESTION6;QUESTION7;QUESTION8;QUESTION9;QUESTIO10;QUESTIO11;QUESTION12;QUESTION13;QUESTION14;QUESTION15;QUESTION16;QUESTION17;QUESTION18;QUESTION19;QUESTION20;QUESTION21;QUESTION22;QUESTION23;QUESTION24;QUESTION25;QUESTION26;RANG;Meme place;Affinites;Habitude;Pas Bruit;Pratique;Plac restante;rester conc;;Decrocher;;;;;;;;
158;EI;;;F;1990;7;4;4;3;2;5;6;4;5;6;1;3;7;4;4;3;3;4;6;5;2;2;4;3;2;4;4;O;;;;O;;;;;;;;;;;;
159;EI;;;M;1990;7;1;4;4;4;1;1;7;4;5;1;5;4;4;5;5;4;7;5;1;1;4;4;4;1;4;4;O;;;;;;;;;;;;;;;;
160;EI;;;F;1991;5;5;3;4;4;4;4;4;4;5;4;4;5;5;4;4;4;4;5;4;3;4;4;4;4;4;4;O;;;;;;;;;;;;;;;;
161;EI;;;F;1991;6;7;6;5;5;6;7;6;2;6;7;4;7;7;7;5;5;7;7;7;7;7;5;5;7;7;4;O;;;;O;;;;;;;;;;;;
162;EI;;;M;1986;4;6;5;5;1;7;1;5;5;5;4;4;2;2;5;4;4;5;5;4;4;3;3;3;4;4;4;O;;;;;O;;;;;;;;;;;
163;EI;;;;;7;5;6;4;4;6;5;5;6;6;5;4;5;5;5;5;5;5;6;6;3;5;5;5;5;5;5;O;;O;;;;;;;;;;;;;;
164;EI;;;F;1992;7;4;5;4;5;2;5;5;4;6;3;5;6;5;5;4;4;5;6;5;4;5;5;5;3;4;5;O;;;;O;;;;;;;;;;;;
165;EI;;;F;1990;6;4;6;4;4;2;7;5;5;4;5;3;6;4;4;3;4;6;5;3;1;4;4;4;4;4;5;O;O;;;;;;;;;;;;;;;
166;EI;;;F;1991;7;5;6;3;4;6;6;6;6;4;5;5;7;5;6;4;4;5;6;6;5;5;7;4;7;6;5;O;O;;;;;;;;;;;;;;;
167;EI;;;F;1991;6;5;5;5;4;2;3;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;5;5;5;5;5;O;;;;O;;;;;;;;;;;;
168;EI;;;F;1987;6;2;6;5;3;2;3;5;2;6;1;4;7;4;5;5;4;4;6;5;4;6;6;4;4;4;5;O;;O;;;;;;;;;;;;;;
169;EI;;;M;1983;7;4;2;6;6;1;7;1;7;7;1;5;7;1;6;5;5;1;1;4;4;1;1;5;1;5;5;O;;;;;;;;;;;;;;;;
170;EI;;;F;1989;7;6;5;5;3;5;7;5;7;6;6;5;7;6;6;5;5;6;5;5;2;6;6;4;7;5;5;O;;;;;;;;;;;;;;;;
171;EI;;;M;1988;6;6;7;2;3;1;7;4;7;7;4;3;7;7;5;1;1;6;7;4;1;5;5;1;4;3;5;O;;;;;;;;;;;;;;;;
172;EI;;;F;1993;7;7;5;4;4;4;6;5;6;5;5;3;7;5;5;4;4;4;4;4;5;4;5;4;5;4;5;O;;O;;;;;;;;;;;;;;
173;EI;;;F;1992;7;6;7;5;6;7;7;7;5;7;1;5;5;6;6;5;6;5;7;5;3;6;7;6;4;5;5;O;;O;;;;;;;;;;;;;;
174;EI;;;F;1989;7;7;3;3;5;4;7;7;4;7;1;6;7;7;7;4;4;3;7;6;7;7;7;7;7;7;5;O;O;;;;;;;;;;;;;;;
175;EI;;;F;1993;6;5;4;4;3;4;5;4;5;5;3;3;6;5;5;3;3;4;4;6;5;4;5;4;5;4;6;O;O;;;;;;;;;;;;;;;
176;EI;;;F;1989;7;5;6;6;4;7;5;5;6;6;1;4;7;5;5;5;5;5;5;5;4;5;5;4;2;5;6;O;O;;;O;;;;;;;;;;;;
177;EI;;;F;1988;7;7;7;5;6;5;7;5;5;6;4;5;7;7;7;7;4;6;6;6;6;7;7;7;7;7;6;O;O;;;;;;;;;;;;;;;
178;EI;;;F;1992;6;4;4;3;5;4;6;5;4;7;4;5;7;5;5;3;3;4;6;5;5;5;4;3;1;3;6;O;O;;;;;;;;;;;;;;;
179;EI;;;F;1988;7;5;5;4;4;5;7;4;5;5;3;4;6;5;4;4;4;5;5;6;5;5;5;4;3;4;6;O;O;;;;;;;;;;;;;;;
180;EI;;;M;1985;7;7;4;4;5;3;7;6;6;4;5;6;6;5;6;5;4;6;6;7;2;3;6;5;5;4;6;O;O;O;;;;;;;;;;;;;;
181;EI;;;F;1972;7;6;6;4;3;4;7;7;7;6;6;6;6;4;4;4;5;4;5;5;6;3;4;5;5;5;6;O;;;;O;;;;;;;;;;;;
182;EI;;;F;1993;7;6;4;4;3;3;6;7;4;6;2;4;7;4;6;4;5;5;4;3;2;5;4;3;2;4;6;O;O;;;O;;;;;;;;;;;;
183;EI;;;F;1988;6;6;5;4;5;3;5;4;3;6;4;3;4;4;5;4;4;4;5;4;6;4;4;4;5;4;6;O;;;;O;;;;;;;;;;;;
184;EI;;;F;1992;5;4;3;4;3;6;3;4;4;4;5;2;5;4;6;4;4;3;5;3;3;4;4;3;4;4;6;O;;;;O;;;;;;;;;;;;
185;EI;;;M;1990;6;6;5;4;3;5;7;5;5;5;5;4;6;5;6;4;4;3;5;5;6;5;5;5;6;6;6;O;;;;;;;;;;;;;;;;
186;EI;ERS 3;2010/2013;F;1975;6;6;5;4;5;6;7;7;6;6;4;6;7;6;6;5;5;6;6;6;4;5;7;7;5;5;1;O;;O;;;;;;;;;;;;;;
187;EI;;;M;1964;7;7;6;5;7;1;1;7;1;6;1;7;7;7;7;5;6;7;7;7;1;7;7;6;1;7;2;O;;;O;;;;;;;;;;;;;
188;EI;;;F;1964;6;6;5;4;3;1;7;5;1;5;1;4;7;5;4;4;5;5;5;5;7;6;5;5;1;4;2;O;;;;O;;;;;;;;;;;;
189;EI;;;F;1974;7;7;7;5;7;1;6;7;1;7;1;7;7;7;7;5;7;7;6;7;5;7;7;5;3;7;2;O;;;;O;;;;;;;;;;;;
190;EI;;;F;1977;7;7;6;5;4;4;2;4;1;6;1;4;7;4;6;3;3;7;7;6;1;5;7;4;2;4;2;O;;;;;;O;;;;;;;;;;
191;EI;;;F;1977;7;7;6;5;4;7;7;7;3;7;4;3;7;6;7;5;6;6;3;6;6;5;6;5;2;4;2;N;O;;;;;;;;;;;;;;;
192;EI;;;F;1989;7;7;3;5;6;4;7;6;6;7;5;5;7;7;7;6;6;6;7;6;6;7;6;5;7;6;2;O;;O;;O;;;;;;;;;;;;
193;EI;;;F;1991;7;6;5;5;5;7;7;7;7;6;6;5;6;6;6;6;5;6;6;7;4;6;5;5;7;6;2;O;;O;;O;;;;;;;;;;;;
194;EI;;;F;1990;7;7;7;5;6;4;6;4;4;5;4;3;7;6;7;6;6;7;6;5;3;7;5;5;4;7;2;O;;O;;O;;;;;;;;;;;;
195;EI;;;F;1988;6;7;7;4;6;4;7;4;2;7;2;5;7;5;5;5;5;5;5;5;3;5;5;5;4;4;3;O;O;;;O;;;;;;;;;;;;
196;EI;;;F;1984;5;7;3;4;3;3;7;7;2;4;3;5;6;5;4;4;7;6;4;4;1;5;4;3;4;5;3;O;O;;;O;;;;;;;;;;;;
197;EI;;;F;1989;7;7;6;4;5;5;7;5;3;6;1;2;7;5;6;5;4;4;5;5;5;5;6;4;5;5;3;O;;;;O;;;;;;;;;;;;
198;EI;;;F;1990;6;6;5;5;6;6;7;7;4;5;3;5;5;5;6;6;6;6;6;5;4;5;5;4;4;4;3;O;;;;O;;O;;;;;;;;;;
199;EI;;;F;1991;5;5;6;5;4;4;7;6;5;5;5;5;7;6;6;7;5;7;5;6;7;6;6;5;4;5;3;O;;O;;;;;;;;;;;;;;
200;EI;;;F;1987;7;7;7;4;4;7;4;6;7;6;3;4;5;5;6;5;5;6;6;5;5;6;5;4;5;5;3;N;O;;;;;;;;;;;;;;;
201;EI;;;F;1991;7;6;5;4;2;5;7;6;5;6;4;2;5;6;7;5;4;6;6;4;5;6;6;5;6;4;3;O;O;O;;O;;;;;;;;;;;;
202;EI;;;F;1990;5;5;4;4;5;6;6;5;5;5;3;4;5;5;6;5;5;6;5;5;3;4;6;4;5;4;3;O;;;;O;;;;;;;;;;;;
203;EI;;;F;1989;6;5;5;4;4;5;6;6;4;5;1;4;6;6;5;5;5;6;5;5;3;6;5;5;5;4;3;O;;O;;;;;;;;;;;;;;
204;EI;;;F;1987;7;5;5;5;5;7;7;3;5;7;5;3;7;4;5;5;5;5;3;7;7;5;5;5;5;5;3;O;O;;;O;;;;;;;;;;;;
205;EI;;;F;1990;7;5;5;5;4;4;6;4;4;6;3;3;6;4;5;4;5;6;5;5;6;5;6;6;2;5;3;O;;O;;;;;;;;;;;;;;
206;EI;;;M;1990;6;6;7;4;5;5;5;4;4;5;3;4;7;5;6;4;5;6;6;4;6;5;6;6;6;6;4;O;;;;;;O;O;;;;;;;;;
207;EI;;;M;1988;5;1;6;7;5;3;1;1;2;5;1;5;4;3;1;5;4;3;3;7;7;4;4;6;4;5;4;O;;;;O;;O;;;;;;;;;;
208;EI;;;M;1970;7;5;5;5;5;3;5;6;4;5;4;4;4;2;4;5;6;5;4;4;1;2;3;7;5;5;4;O;;;;O;;;;;;;;;;;;
209;EI;;;F;1990;6;5;4;4;2;6;2;5;3;6;2;2;2;4;5;5;6;4;3;4;4;4;3;5;5;6;4;O;;O;;;;;;;;;;;;;;
210;EI;;;F;1990;7;7;5;5;4;5;6;6;4;5;1;4;7;5;6;4;4;4;4;4;4;5;4;4;4;4;4;O;;O;;;;;;;;;;;;;;
211;EI;;;F;1990;7;7;4;5;4;1;6;5;5;6;1;4;7;5;4;5;4;4;3;5;4;6;6;3;4;5;4;O;;O;;;;;;;;;;;;;;
212;EI;;;F;1990;7;7;5;5;5;1;7;4;1;7;2;5;7;6;5;6;5;6;3;3;3;6;5;5;5;7;5;O;;O;;O;;;;;;;;;;;;
213;EI;;;F;1991;7;5;6;5;4;3;6;6;3;7;2;4;6;5;3;4;5;5;6;3;3;6;6;5;5;5;5;O;;;;O;;;;;;;;;;;;
214;EI;;;F;1991;7;6;6;5;7;6;5;6;6;6;6;7;7;5;6;6;6;7;5;7;6;5;6;5;6;6;5;O;;O;;;;;;;;;;;;;;
215;EI;;;F;1988;6;6;4;4;3;3;7;3;2;3;4;3;5;4;5;4;4;4;3;3;6;3;3;3;3;4;5;O;;O;;;;;;;;;;;;;;
216;EI;;;F;1991;7;4;6;4;3;4;7;5;5;5;7;3;5;5;4;3;3;7;5;6;1;6;5;3;5;6;5;O;O;;;O;;;;;;;;;;;;
217;EI;;;F;1989;7;5;5;4;4;4;5;6;4;5;3;4;5;5;5;5;5;4;5;5;5;5;6;5;5;5;5;O;;O;;;;;;;;;;;;;;
218;EI;;;F;1991;7;6;6;6;5;5;5;6;3;7;4;4;6;6;7;4;5;5;5;6;6;6;6;5;6;6;5;O;;O;;;;;;;;;;;;;;
219;EI;;;F;1991;7;7;6;4;6;6;7;6;7;6;7;6;7;6;6;5;6;6;7;6;5;7;7;4;5;5;5;O;;O;;O;;;;;;;;;;;;
220;EI;;;F;1991;7;7;6;5;2;6;4;6;5;7;5;2;6;4;5;5;5;6;5;7;4;5;5;6;3;6;5;O;O;O;;O;;;;;;;;;;;;
221;EI;;;F;1988;7;5;5;5;6;3;7;6;1;7;1;4;2;5;6;6;6;3;7;3;7;5;5;4;5;7;6;O;O;;;O;;;;;;;;;;;;
222;EI;;;F;1989;7;7;7;5;5;3;7;6;1;7;1;4;7;6;7;6;6;7;7;5;4;6;6;4;2;7;6;N;O;;;O;;;;;;;;;;;;
223;EI;;;F;1989;7;7;6;6;3;4;3;5;4;5;3;3;5;4;5;6;4;3;4;5;1;4;5;4;4;6;6;O;;O;;;;;;;;;;;;;;
224;EI;;;F;1986;7;6;6;6;5;4;6;5;4;5;5;5;5;4;6;5;5;5;6;6;5;5;5;4;4;5;6;O;;O;;;;;;;;;;;;;;
225;EI;;;F;1983;6;5;6;4;4;5;7;5;4;6;2;5;7;4;6;5;5;5;6;5;4;4;4;5;4;5;6;O;;O;;O;;;;;;;;;;;;
226;EI;;;F;1988;7;7;7;5;4;5;7;6;6;7;1;4;7;7;6;5;4;4;6;6;5;7;6;5;2;5;6;O;;O;;;;;;;;;;;;;;
227;EI;;;F;1989;6;6;6;5;5;5;5;5;6;6;6;4;5;5;5;5;5;6;5;5;6;4;5;6;6;6;6;O;;O;;;;;;;;;;;;;;
228;EI;;;F;1989;5;5;6;5;5;3;7;5;4;6;4;6;6;3;4;5;5;3;4;5;4;3;3;6;3;5;6;N;;;;;;;;;;;;;;;;
229;EI;;;F;1989;7;7;7;4;4;5;7;6;5;7;3;4;7;6;7;5;6;6;7;6;3;5;6;5;4;6;6;O;O;;;;;;;;;;;;;;;
230;EI;;;F;1986;7;7;7;4;5;5;7;6;5;5;3;4;5;5;6;5;5;6;5;5;6;6;6;5;5;6;6;O;;O;;;;;;;;;;;;;;
231;EI;;;F;1988;7;7;7;4;7;6;7;5;1;7;4;6;7;7;5;5;5;6;7;6;1;7;6;6;6;6;6;O;;O;;;;;;;;;;;;;;
232;EI;;;F;1990;7;7;7;7;6;6;7;7;6;7;6;5;7;6;6;6;6;7;7;6;1;6;7;6;6;7;6;O;;O;;;;;;;;;;;;;;
233;EI;;;M;1989;7;6;6;6;6;4;4;6;4;6;1;6;6;6;6;6;6;4;6;4;4;6;6;6;4;6;6;O;;O;;;;;;;;;;;;;;
234;EI;;;F;1990;6;6;6;4;4;3;7;6;4;5;1;3;5;5;5;4;4;5;6;6;3;5;4;4;3;5;7;O;;O;;;;;;;;;;;;;;
235;EI;;;F;1991;7;6;6;5;5;5;7;5;2;6;5;5;6;6;4;5;5;5;6;6;4;6;5;5;5;5;7;O;;O;;;;;;;;;;;;;;
236;EI;;;F;1990;6;6;5;4;5;4;7;6;4;5;5;5;7;5;7;4;4;6;6;5;7;6;7;6;1;5;7;O;;O;;;;;O;;;;;;;;;
237;EI;;;M;1976;5;5;4;4;5;2;4;5;2;5;2;4;6;4;6;5;4;5;5;6;5;6;6;3;1;4;7;N;O;;;;;;;;;;;;;;;
238;EI;;;F;1987;7;7;4;2;4;4;6;4;1;5;1;4;6;5;4;2;2;6;6;2;2;6;4;2;1;3;7;O;;O;;;;;;;;;;;;;;
239;EI;;;F;1991;7;7;4;7;7;7;7;3;3;5;5;6;7;5;7;6;6;6;5;4;5;6;5;5;4;7;7;O;;O;;;;;;;;;;;;;;
240;EI;;;;;7;7;6;7;5;7;7;7;4;7;5;3;7;4;7;4;3;1;3;6;7;6;7;4;6;5;8;;;;;;;;;;;;;;;;;
241;EI;;;F;1962;6;7;7;4;3;6;7;7;7;5;1;1;7;6;7;1;3;7;7;3;7;6;7;1;1;4;8;O;;;;;;;;;;;;;;;;
242;EI;;;F;1988;7;5;4;4;5;6;3;6;7;6;5;4;4;5;5;5;5;6;6;5;2;5;5;4;3;6;9;O;;;;O;;;;;;;;;;;;
243;EI;;;F;1983;7;6;3;1;4;7;1;7;4;5;2;5;3;6;5;3;2;6;4;6;2;5;3;6;5;3;9;O;;;;O;;;;;;;;;;;;
244;EI;;;F;1988;6;4;4;3;1;5;6;5;3;5;4;1;2;4;3;1;4;5;6;2;1;4;4;2;5;3;9;O;;;;O;;;;;;;;;;;;
245;EI;STR 3;2010/2013;F;1991;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;1;N;;;;;O;;;;;;;;;;;
246;EI;;;M;1988;7;4;5;7;7;7;1;7;7;7;7;7;7;7;7;7;7;7;7;7;1;4;7;7;7;7;1;N;;;;;O;;;;;;;;;;;
247;EI;;;M;1988;7;6;6;5;6;4;7;6;4;7;3;6;7;6;6;5;5;6;7;6;4;6;6;5;1;5;1;N;;;;;O;;;;;;;;;;;
248;EI;;;F;1987;7;7;7;4;5;5;7;7;5;7;4;4;7;7;5;4;4;5;7;5;4;7;6;4;4;4;1;N;;;;;O;;;;;;;;;;;
249;EI;;;M;1976;7;5;6;5;5;5;3;6;4;5;6;6;7;6;6;5;6;7;6;6;5;6;5;5;5;7;2;N;;;;;O;;;;;;;;;;;
250;EI;;;F;1987;7;5;5;4;4;3;2;4;4;6;1;2;2;4;5;4;4;6;5;1;1;3;4;4;5;5;2;N;;;;;O;;;;;;;;;;;
251;EI;;;F;1980;7;5;6;4;1;7;2;4;1;4;1;2;7;6;4;4;4;6;4;4;1;4;4;4;4;4;2;O;O;O;;;;;;;;;;;;;;
252;EI;;;F;1975;4;4;7;7;7;7;5;6;7;7;1;6;7;7;1;7;7;4;7;7;1;7;7;5;1;5;2;O;;;;O;;;;;;;;;;;;
253;EI;;;F;1977;7;4;7;2;2;5;7;5;1;4;3;2;7;7;4;3;3;6;6;6;1;6;5;4;4;4;2;O;;O;;;;;;;;;;;;;;
254;EI;;;F;1981;7;5;4;4;6;5;7;6;1;5;1;5;7;5;1;6;7;5;5;5;7;6;7;5;5;7;2;O;O;;;;;;;;;;;;;;;
255;EI;;;F;1989;7;4;5;5;4;1;7;7;1;4;4;4;7;7;4;4;4;6;7;7;5;7;7;4;6;5;2;N;;;;;O;;;;;;;;;;;
256;EI;;;F;1991;7;7;6;7;3;3;7;4;3;5;2;3;7;6;5;6;6;5;4;6;5;7;6;5;4;5;2;N;;;;;;;;;;;;;;;;
257;EI;;;M;1984;7;1;5;4;6;1;1;1;1;7;1;7;7;6;7;1;5;7;1;7;1;6;6;4;1;4;2;N;;;;;O;;;;;;;;;;;
258;EI;;;M;1988;7;4;6;5;4;4;5;5;3;6;2;4;7;4;5;4;4;5;6;4;2;5;5;2;1;5;2;N;;;;;O;;;;;;;;;;;
259;EI;;;F;1978;7;3;5;5;7;3;3;4;2;5;7;7;7;5;6;7;7;7;5;7;4;4;5;7;2;7;3;O;O;;O;O;;;;;;;;;;;;
260;EI;;;F;1986;7;4;5;3;5;2;7;3;2;4;5;5;5;2;2;4;3;4;3;2;6;1;3;3;1;3;3;O;O;;O;O;;;;;;;;;;;;
261;EI;;;F;1984;5;6;6;3;4;5;7;5;2;5;2;4;6;6;6;3;2;4;5;5;2;6;6;2;2;4;3;O;O;O;;O;;;;;;;;;;;;
262;EI;;;F;1972;7;6;6;7;4;5;5;5;4;4;5;5;3;3;3;6;6;6;6;4;3;5;6;6;6;5;3;N;;;;O;;;;;;;;;;;;
263;EI;;;F;1987;7;5;4;4;4;4;4;7;4;5;5;3;1;5;4;4;4;6;6;4;1;4;7;4;1;3;3;O;O;;O;O;;;;;;;;;;;;
264;EI;;;F;1988;7;7;5;5;7;7;7;7;6;7;4;7;7;6;7;4;6;6;4;4;1;7;6;7;4;7;3;N;;;;;O;;;;;;;;;;;
265;EI;;;F;1989;4;7;6;5;4;1;7;3;1;7;1;4;6;4;7;4;5;2;2;3;1;2;2;5;1;3;3;N;;;;;O;;;;;;;;;;;
266;EI;;;F;1964;4;4;6;4;1;2;5;2;1;2;4;1;2;7;4;2;2;2;4;4;2;7;4;2;2;4;3;N;;;;;;;;;;;;;;;;
267;EI;;;M;1987;5;7;6;7;5;2;2;4;1;2;1;5;7;7;7;5;6;7;2;3;1;7;7;4;5;6;3;N;;;;;O;;;;;;;;;;;
268;EI;;;M;1978;7;4;4;5;7;1;7;6;1;7;1;7;7;2;7;4;7;7;7;7;3;5;7;7;2;6;3;N;;;;;O;;;;;;;;;;;
269;EI;;;;;7;7;7;7;7;5;4;6;2;7;5;7;7;6;7;6;7;7;7;7;4;7;7;7;5;5;4;O;;;;;;;;;;;;;;;;
270;EI;;;;;5;6;5;5;4;5;6;5;7;6;6;4;4;4;4;4;5;4;5;3;1;4;4;4;6;4;4;O;;;;;;;;;;;;;;;;
271;EI;;;F;1984;7;7;6;4;5;4;6;7;7;7;7;5;7;7;6;5;5;5;7;6;5;7;6;6;5;4;4;O;;;;;;;;;;;;;;;;
272;EI;;;F;1986;7;7;7;6;5;5;7;7;5;7;5;4;7;7;7;5;7;7;7;5;6;7;7;5;4;5;4;N;;;;;;;O;;;;;;;;;
273;EI;;;F;1990;4;4;6;3;7;4;3;5;4;3;1;2;6;4;4;2;2;3;4;3;3;3;4;4;4;4;4;N;;;;;;;;;;;;;;;;
274;EI;;;F;1990;4;6;6;4;4;5;6;5;4;6;3;5;6;4;6;6;5;3;5;2;4;5;5;5;5;6;4;N;;;;;O;;;;;;;;;;;
275;EI;;;F;1991;5;4;4;2;1;4;7;4;4;5;7;1;4;1;5;4;4;3;4;3;5;4;3;4;5;4;4;O;;;;;;;;;;;;;;;;
276;EI;;;M;1980;6;6;4;4;5;1;4;4;1;6;1;4;5;2;5;4;4;3;5;3;2;1;4;4;4;6;4;N;;;;;;;O;;;;;;;;;
277;EI;;;F;1977;7;3;4;4;2;3;7;4;4;6;2;3;6;5;5;6;5;6;4;5;6;4;6;3;2;4;5;O;;;;;;;O;;;;;;;;;
278;EI;;;F;1984;7;3;6;4;5;6;2;4;4;7;2;1;7;4;7;4;4;2;4;5;1;4;4;2;4;5;5;O;;;;;;;O;;;;;;;;;
279;EI;;;F;1990;6;5;7;3;2;5;6;6;6;6;1;2;5;5;4;3;5;4;6;4;4;6;6;5;5;5;5;O;;;;O;;;O;;;;;;;;;
280;EI;;;F;1991;7;7;5;1;4;7;7;5;4;5;5;3;5;7;7;5;5;4;4;3;4;7;4;4;5;6;5;O;;;;;;;;;;;;;;;;
281;EI;;;F;1988;7;7;7;4;5;7;7;7;4;7;7;5;7;7;7;6;6;7;7;7;4;7;7;5;7;6;5;O;;;;O;;;;;;;;;;;;
282;EI;;;M;1991;5;5;7;4;6;7;7;5;7;6;7;4;5;7;7;3;6;5;6;4;4;6;6;3;1;4;5;O;;;;;;;;;;;;;;;;
283;EI;;;F;1990;7;7;7;4;6;6;7;7;1;7;6;5;7;7;7;5;5;7;7;7;6;7;7;5;7;5;5;N;;;;;O;;;;;;;;;;;
284;EI;;;F;1990;7;6;7;3;5;6;7;7;1;7;1;3;7;7;7;3;4;7;7;7;4;7;7;3;1;3;5;O;O;;;;;;;;;;;;;;;
285;EI;;;F;1991;7;6;6;4;4;6;7;5;3;6;1;4;7;5;6;3;3;4;6;4;4;5;5;4;5;6;5;O;;O;;;;;;;;;;;;;;
286;EI;;;F;1983;6;5;7;1;4;6;1;7;7;6;1;1;4;3;7;2;2;7;3;6;2;2;2;2;1;3;5;N;;;;;;;;;;;;;;;;
287;EI;;;F;1976;7;7;7;5;5;3;7;7;1;7;1;5;7;5;7;5;5;7;7;7;7;5;7;5;5;5;6;N;;;;;O;;;;;;;;;;;
288;EI;;;;1992;7;7;7;4;5;1;4;1;5;4;3;3;7;1;7;5;6;4;4;4;6;1;3;6;1;5;6;N;;;;;;;O;;;;;;;;;
289;EI;;;M;1986;7;1;7;7;7;1;1;1;1;7;1;7;7;4;7;7;7;7;7;7;1;4;4;7;1;7;6;O;;;;O;;;;;;;;;;;;
290;EI;;;M;1988;5;7;5;3;4;1;3;3;6;6;2;6;6;1;5;3;4;2;2;5;5;3;3;3;5;6;6;O;O;;;;;;O;;;;;;;;;
291;EI;;;M;1987;7;7;7;6;7;4;6;4;4;6;1;7;7;5;7;5;5;4;5;6;7;5;6;5;1;5;6;O;;;;O;;;;;;;;;;;;
292;EI;;;F;1988;7;4;6;3;4;1;4;4;1;6;3;3;7;4;4;4;3;7;6;4;1;4;4;4;1;4;6;N;O;;;;;;;;;;;;;;;
293;EI;;;F;1990;6;7;4;4;4;1;7;3;1;5;1;4;6;4;7;5;4;4;4;3;4;5;3;3;1;3;6;N;;;;;;;;;;;;;;;;
294;EI;;;F;1991;7;7;6;4;5;6;7;5;5;6;2;5;7;5;6;4;4;4;5;3;7;5;5;4;5;4;6;O;;;;;;;O;;;;;;;;;
295;EI;;;F;1989;7;4;5;5;4;2;2;4;2;4;2;4;7;5;3;3;4;6;4;4;5;4;5;5;4;7;6;N;;;;;O;;;;;;;;;;;
296;EI;;;M;1987;6;5;5;3;4;4;5;5;6;5;1;4;2;4;5;3;4;6;5;5;4;5;5;4;3;4;6;N;;;;;O;;;;;;;;;;;
297;EI;;;M;;6;6;4;4;5;1;7;5;3;7;1;3;7;1;3;3;3;5;5;5;7;5;5;4;1;3;6;N;;;;;;;O;;;;;;;;;
298;EI;;;F;1989;5;6;4;5;6;6;6;6;4;7;6;6;7;6;7;5;5;7;7;4;5;7;6;7;5;5;7;N;;;;O;;;;;;;;;;;;
299;EI;;;F;1989;7;6;7;7;7;4;4;7;4;7;7;7;7;7;7;5;5;6;7;5;4;7;7;7;5;6;7;N;;;;;;;;;;;;;;;;
300;EI;;;F;1988;5;2;4;2;6;2;4;4;1;6;1;6;6;6;2;4;4;2;5;3;2;6;6;3;1;3;7;N;;;;;O;;;;;;;;;;;
301;EI;;;F;1990;7;7;6;5;5;4;7;5;1;7;1;5;7;5;7;4;4;4;6;4;5;7;6;4;4;5;7;N;;;;;;;;;;;;;;;;
302;EI;;;F;1984;7;6;6;5;5;5;7;5;5;5;6;5;7;6;5;5;5;5;6;6;4;5;5;5;6;6;7;N;;;;;;;;;;;;;;;;
303;EI;;;M;1987;7;4;4;7;7;1;5;2;1;7;1;7;5;1;5;4;3;1;3;4;4;3;4;4;1;7;7;N;;;;;;;;;;;;;;;;
304;EI;;;F;1991;7;5;4;7;7;1;4;3;1;7;7;7;7;5;7;6;6;1;4;4;4;4;3;4;1;7;7;N;O;;;;;;;;;;;;;;;
305;EI;;;F;1990;7;7;6;5;6;4;1;4;3;5;3;7;7;4;7;5;5;5;4;3;7;3;5;4;7;5;7;N;O;;;;;;;;;;;;;;;
306;EI;;;F;1986;7;7;7;4;6;1;3;2;1;7;1;5;7;6;7;2;5;6;4;7;1;5;1;1;1;4;7;N;;;;;;;;;;;;;;;;
307;EI;;;F;1981;7;7;7;5;4;4;7;5;1;4;1;4;7;7;5;3;7;5;7;4;5;7;6;4;1;5;7;O;;;;O;;;;;;;;;;;;
308;EI;;;F;1990;7;4;6;4;3;4;3;5;6;6;5;3;4;5;4;2;2;5;5;4;4;6;6;4;4;4;7;N;;;;;;;;;;;;;;;;
309;EI;;;F;1987;7;3;4;3;5;3;2;3;2;5;2;1;7;1;7;4;5;3;2;1;1;1;2;3;1;2;8;N;;;;;O;;;;;;;;;;;
310;EI;;;F;1988;7;2;4;5;7;2;7;2;1;4;1;7;4;3;1;6;5;2;2;4;2;3;3;2;1;4;8;N;;;;;;;O;;;;;;;;;
311;EI;;;F;1978;7;1;5;7;4;2;1;4;1;1;1;3;7;5;1;1;1;3;1;1;1;1;1;1;1;1;8;O;;;;;;;;;;;;;;;;
312;EI;;;M;1981;7;4;7;7;7;6;7;5;4;7;7;6;7;5;4;5;5;5;6;5;7;5;4;5;3;5;8;N;O;;;;;;;;;;;;;;;
313;EI;;;F;1988;7;4;3;7;2;3;4;4;2;6;1;1;5;2;2;2;4;5;3;3;3;2;2;4;5;6;8;N;;;;;;;;;;;;;;;;
314;EI;;;F;1990;7;6;4;2;5;3;5;5;4;7;1;4;7;3;2;3;3;2;4;5;4;6;5;4;1;3;8;N;;;;;O;;O;;;;;;;;;
315;EI;;;F;1988;7;7;7;4;4;3;7;5;3;6;3;3;7;2;4;2;3;3;6;5;3;4;4;4;2;4;8;N;;;;;;;O;;;;;;;;;
316;EI;;;F;1989;7;7;6;5;4;1;3;5;6;7;6;2;4;3;3;2;2;5;6;3;1;1;5;1;5;4;8;N;O;;;;;;;;;;;;;;;
317;EI;;;F;1989;7;6;1;3;1;1;1;4;7;7;1;1;7;7;6;5;5;4;5;5;1;6;5;1;1;7;8;;;;;;;;O;;;;;;;;;
318;EI;;;F;1991;5;5;3;4;3;2;6;4;2;4;2;3;5;3;7;3;3;4;4;5;2;3;2;2;2;3;8;N;;;;;;;O;;;;;;;;;
